Label,Zero Crossing Rate,Spectral Centroid,Spectral Rolloff,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Chroma 1,Chroma 2,Chroma 3,Chroma 4,Chroma 5,Chroma 6,Chroma 7,Chroma 8,Chroma 9,Chroma 10,Chroma 11,Chroma 12,Pitch,Intensity
angry,0.12944738643685566,5459.626019520074,10267.557989690722,-414.0394,55.819607,-19.067305,1.8836796,-8.054758,-4.679798,-16.170132,-2.3083327,-10.847314,-9.434908,-8.544183,-5.6883974,-5.7119155,0.42500892,0.39530137,0.3930131,0.34130615,0.33218357,0.41939902,0.50169736,0.50427234,0.5054851,0.47294113,0.42481765,0.45278788,189.79936302023913,0.056439497
sad,0.05685248940677966,6714.04938151717,13191.816737288136,-768.28424,75.991165,5.6833153,13.939804,9.684701,13.050104,0.041285627,2.189754,-0.8372333,-2.1460805,-1.6406524,0.07493007,3.979878,0.49055657,0.49055263,0.488977,0.50644803,0.5409676,0.6853807,0.74119514,0.51674104,0.48373032,0.4757793,0.5053411,0.52188915,211.38817893319367,0.0011561689
angry,0.10197984450665859,6592.853232307604,11732.426604116223,-441.83807,42.00844,-21.299633,-1.4298694,-11.702882,-10.373579,-18.30763,3.5568643,-13.491261,-11.803978,-3.344918,-6.2167706,-7.4702644,0.5256825,0.48601508,0.4893763,0.48809892,0.51477987,0.5329386,0.5111978,0.5448857,0.55782706,0.53143674,0.52917135,0.5213832,223.9066533039057,0.03190634
sad,0.10898929884453781,5804.707879833839,12091.517857142857,-645.6941,76.85908,15.359509,16.445667,-2.1409097,13.495273,-8.285694,5.4122024,-12.382337,-6.1888766,2.0813546,-2.1387844,-2.182249,0.43136212,0.4410814,0.4390694,0.43565366,0.49228683,0.64621294,0.7391139,0.6711401,0.56209797,0.45800564,0.41574216,0.41470695,165.54545162084864,0.0043091686
Disgusted,0.15207992061491934,2791.298592489722,4503.8884749874,-425.04718,81.10684,9.970351,20.248493,3.1602066,5.0198154,-3.702304,-22.078896,-13.116771,4.765443,-10.946394,-0.043217007,-4.104806,0.21819502,0.19460788,0.20119742,0.18247907,0.2718676,0.36652207,0.39475223,0.44293872,0.34141645,0.31175113,0.33875364,0.29175022,190.40777515768823,0.02274053
Disgusted,0.23343182425213677,3697.639783099082,5684.230794270833,-397.29764,54.484222,9.180822,12.775123,-3.4540985,-2.6500947,-12.7491255,-8.175493,-9.92785,-1.9352881,-6.712498,-3.4608903,-2.5957806,0.3983455,0.37150162,0.22878082,0.18007514,0.26675084,0.44143358,0.45990163,0.32308537,0.26545337,0.2932309,0.35802266,0.33614737,181.59109148303193,0.019402489
neutral,0.01808084467405914,964.0035403658944,1615.569083921371,-302.5349,101.54017,6.16055,21.031988,12.248147,-8.917368,-6.690121,-8.665833,-5.8199964,-7.437936,-9.864597,-1.7710893,-3.7175333,0.45963278,0.4738132,0.50870585,0.5175554,0.5250279,0.5576132,0.52622753,0.45794022,0.44834778,0.43394125,0.41322014,0.4179649,183.55067595021717,0.1999483
neutral,0.005586815889550264,578.7668857847563,1062.98828125,-434.96143,114.39856,33.020756,35.22511,37.199688,18.917938,2.8401577,-13.857939,-6.0527472,9.529766,-1.5949581,-9.864593,-0.5314854,0.54861504,0.5724612,0.5794119,0.59945196,0.6458158,0.7214865,0.7127665,0.6719237,0.63126385,0.593753,0.52767456,0.4967395,143.85107211086986,0.0722367
Disgusted,0.1290234375,2588.351184652006,4430.2826953125,-416.4754,89.44315,7.3459435,19.919033,-2.351971,3.2925391,-1.173828,-18.933588,-11.525995,2.6782703,-10.215824,-0.6559171,-4.8858247,0.35059074,0.3240612,0.27043167,0.27293617,0.38316205,0.4062969,0.44356045,0.42225397,0.4281802,0.4421537,0.38725382,0.36915445,175.9780854942121,0.021222124
neutral,0.007191925800492611,434.0215993072765,702.7461610991379,-419.09406,111.57687,36.55588,21.602947,28.215942,18.672604,-0.920202,-10.410261,1.6131748,8.648218,-3.1791096,-6.0302105,3.0199628,0.5808186,0.63872,0.629816,0.614075,0.64880633,0.6861747,0.69941705,0.66357994,0.61233747,0.5811468,0.5404416,0.5093686,139.6943703866391,0.08815
neutral,0.005190248842592593,457.9929740330777,710.1969401041666,-474.4847,142.93484,45.27401,25.690199,25.312899,17.8636,7.111449,-7.2874694,-2.3055818,5.3902173,-3.4002433,-3.8411512,3.2438152,0.6258021,0.6530546,0.6557283,0.6247542,0.5933978,0.61697817,0.6494698,0.6701839,0.66329044,0.64467084,0.6199152,0.59674454,130.20523195707602,0.067365184
sad,0.040729732789855075,3628.782110054772,7700.339673913043,-559.6899,71.13435,-1.3370804,5.4677987,5.4593196,16.007961,1.7743658,7.356004,-2.2258968,-6.6626368,-2.203596,6.3369637,6.484668,0.48296687,0.52950066,0.5360641,0.5565104,0.630927,0.6445669,0.66616863,0.69066805,0.6374436,0.5251788,0.46159977,0.4606623,174.5111243741809,0.010687126
sad,0.07350928151709402,4789.30951471103,9066.439636752137,-641.3744,74.08121,-8.787225,5.2403283,4.5504904,5.2855196,-12.394576,-9.86465,-17.020575,-9.249639,-3.117851,-0.35029694,-8.128353,0.49223983,0.34191385,0.29597485,0.3130948,0.31814727,0.3396158,0.37565652,0.37611833,0.39617956,0.43287045,0.48508117,0.53604954,215.35554194312851,0.0039354893
neutral,0.024425076362781954,1104.817159820576,1787.498715049342,-327.13925,87.306526,-4.5152073,26.40937,16.499075,-4.1390085,0.21032014,-5.7940736,-0.9316459,-2.6899984,-6.809438,2.4775436,-2.4190266,0.54485095,0.58156484,0.56099236,0.54620135,0.5665267,0.6131889,0.6350343,0.61888707,0.584882,0.54063976,0.51495385,0.49223563,168.17159760182213,0.17294282
angry,0.07747845673680905,6850.228720031915,12167.478015075378,-401.084,25.331026,-38.479202,-5.0326467,-18.697584,-8.060392,-9.078775,-1.3143599,-5.6630855,-5.093983,-6.768844,-4.8630285,-5.6504097,0.5148338,0.4621941,0.45545185,0.43754682,0.43714866,0.49842137,0.50814253,0.4890479,0.47128287,0.48603073,0.5943603,0.57053834,238.7907445663631,0.06123484
angry,0.08774475870253165,5773.909208794713,11002.986550632912,-470.35553,48.44611,-21.689028,3.126088,-10.172422,2.192826,-17.533178,-4.401632,-9.673747,-12.771452,-11.960282,-3.0003214,-2.6975641,0.4791934,0.48218408,0.45552576,0.4591796,0.4825336,0.5082342,0.5305939,0.52618927,0.4953651,0.48132354,0.50335836,0.47444853,221.5995929455038,0.029816912
neutral,0.008643155972633137,548.2527259556176,1006.7090999445267,-430.72263,158.5832,34.12288,12.797242,24.494186,16.934902,0.22769463,-13.920691,-3.4074645,8.981717,-3.8515964,-7.881807,4.771319,0.5465637,0.5712273,0.6022819,0.6337421,0.6691017,0.6335136,0.5532335,0.5014268,0.49096814,0.48557246,0.4788374,0.50453657,140.7478331555872,0.077647336
neutral,0.0239757859563253,1026.6854178319834,1589.3709113798946,-306.70187,113.24169,6.533689,16.954634,11.099844,-8.719477,-5.886604,-6.373451,-3.246329,-6.0574193,-10.813997,-4.313291,-3.380241,0.4871338,0.5190404,0.5199417,0.5038296,0.4938926,0.52581877,0.5191162,0.46167198,0.4309483,0.42066303,0.40741473,0.41647744,184.8834588113634,0.19915928
neutral,0.026257382625598086,1232.979191696205,2189.3291856683613,-313.73355,98.53575,2.3843668,24.008318,12.893275,-13.161287,-8.557408,-8.839118,-6.89698,-10.342874,-12.090701,-1.9575026,-5.63337,0.38978133,0.402453,0.43216947,0.5127665,0.62083054,0.5769563,0.45657057,0.39403823,0.37617522,0.35298076,0.33871686,0.34220868,180.108776095719,0.14650626
Disgusted,0.19678844105113635,3313.557571836841,5107.382501775568,-451.21045,62.635033,6.3029213,26.98571,-2.774664,-3.3802319,-1.9902356,-15.4453945,-5.7918563,-0.76931506,-5.267984,4.417299,0.72565424,0.38663158,0.33993283,0.30987394,0.30957896,0.40397042,0.47254553,0.4123938,0.31465393,0.25855118,0.31289458,0.39392495,0.4004518,177.9734177394715,0.015655339
neutral,0.005617345100864553,506.86959469569456,902.7810923991354,-478.51733,150.69528,43.76269,24.374031,30.125862,19.038721,2.1248038,-10.080074,-1.6816891,8.200574,0.2370324,-4.80914,-0.53621924,0.5885587,0.59143364,0.63023275,0.60867685,0.60729057,0.65767485,0.6250399,0.57366574,0.592819,0.6158726,0.63169134,0.6128816,128.29593287912203,0.057584316
Disgusted,0.14503554047131148,2565.103247100786,3938.9775230532787,-427.8261,104.68718,0.37470284,1.7327893,-9.222996,0.76452947,-7.6435037,-21.605976,-11.589011,-0.7928153,-8.11872,-0.9354206,-3.5621963,0.35375342,0.35848358,0.35307202,0.33118486,0.36950248,0.41692975,0.32870084,0.29489008,0.3380702,0.3984268,0.41710764,0.37281027,182.53108685021405,0.0168693
neutral,0.02529296875,1160.5849993369714,2004.7412109375,-317.83182,93.19488,3.354215,23.082523,12.679238,-9.65216,-8.292561,-12.645243,-7.150584,-5.9082637,-8.21234,-0.09201362,-3.588988,0.46456224,0.51600873,0.6002398,0.66198933,0.57335824,0.46956298,0.40306187,0.36505425,0.36284792,0.36640522,0.3754907,0.38870254,203.78556484601324,0.15349446
sad,0.1038248268469657,5274.820343203927,9456.072724274407,-601.22845,67.22256,-43.22933,6.640947,-10.576337,7.227152,-29.964558,-9.75127,-12.751556,-18.716078,-3.6401722,3.894944,-8.069677,0.311156,0.2933796,0.39298186,0.41547856,0.4575357,0.41041693,0.4051104,0.41658115,0.40030012,0.45526546,0.47058508,0.44819006,208.31572665862956,0.004944977
angry,0.0757382347470238,5379.027266159518,10534.70982142857,-492.31686,55.748997,-29.86481,1.7292402,-0.58120847,-9.840275,-16.187035,5.726618,-8.322392,-14.231466,-1.3476492,-3.7604187,-5.86847,0.44590637,0.36808428,0.38056493,0.46542877,0.63515794,0.6563907,0.48252556,0.4430222,0.49078172,0.44030267,0.43232813,0.46688235,209.6304790778367,0.020618577
